Accession,Species,Genus,Family,Length,Host,GenBank_Title
NC_042335,Mycobacterium virus Saintus,Fromanvirus,Siphoviridae,49228,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus Saintus, complete genome"
NC_042336,Mycobacterium virus Dotproduct,Cheoctovirus,Siphoviridae,55363,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus DotProduct, complete genome"
NC_042337,Mycobacterium virus Astro,Fromanvirus,Siphoviridae,52494,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus Astro, complete genome"
NC_042338,Mycobacterium virus Macncheese,Timquatrovirus,Siphoviridae,61567,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus MacnCheese, complete genome"
NC_042339,Mycobacterium virus Arturo,Fromanvirus,Siphoviridae,51500,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus Arturo, complete genome"
NC_042340,Mycobacterium virus Goose,Fromanvirus,Siphoviridae,50645,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus Goose, complete genome"
NC_042341,Mycobacterium virus Rebeuca,Fromanvirus,Siphoviridae,51235,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus Rebeuca, complete genome"
NC_042342,Pseudomonas virus H66,Hollowayvirus,Podoviridae,65270,Pseudomonas aeruginosa,"Pseudomonas virus H66, complete genome"
NC_042343,Pseudomonas virus PaP4,Bruynoghevirus,Podoviridae,43895,Pseudomonas aeruginosa,"Pseudomonas phage PaP4, complete genome"
NC_042344,Xylella virus Sano,Sanovirus,Siphoviridae,56147,Xylella fastidiosa,"Phage Sano, complete genome"
NC_042345,Xylella virus Salvo,Sanovirus,Siphoviridae,55601,Xylella fastidiosa,"Phage Salvo, complete genome"
NC_042346,Salmonella virus BTP1,Lederbergvirus,Podoviridae,40525,Salmonella enterica,"Salmonella virus BTP1 genome assembly, chromosome: BTP1"
NC_042348,Salinibacter virus M1EM1,Holosalinivirus,Siphoviridae,35883,Salinibacter ruber,"Salinibacter virus M1EM-1, partial genome"
NC_042349,Salinibacter virus M8CC19,Kryptosalinivirus,Siphoviridae,53812,Salinibacter ruber M8,"Salinibacter virus M8CC-19, complete genome"
NC_042350,Salinibacter virus M8CR30-2,Holosalinivirus,Siphoviridae,35099,Salinibacter ruber M8,"Salinibacter virus M8CR30-2, complete genome"
NC_042351,Salinibacter virus M8CRM1,Kryptosalinivirus,Siphoviridae,53197,Salinibacter ruber M8,"Salinibacter virus M8CRM-1, partial genome"
NC_042352,Salinibacter virus M31CR41-2,Kairosalinivirus,Siphoviridae,51889,Salinibacter ruber,"Salinibacter virus M31CR41-2, partial genome"
NC_042353,Salinibacter virus SRUTV1,Kairosalinivirus,Siphoviridae,50672,,"Salinibacter virus SRUTV-1, partial genome"
NC_042354,Corynebacterium virus phi673,Ikedavirus,Siphoviridae,44530,Corynebacterium glutamicum,"Corynebacterium phage phi673, complete genome"
NC_042355,Corynebacterium virus phi674,Ikedavirus,Siphoviridae,43193,Corynebacterium glutamicum,"Corynebacterium phage phi674, complete genome"
NC_042140,Bacillus virus BM15,Caeruleovirus,Herelleviridae,165213,Bacillus megaterium,"Bacillus virus BM15, complete genome"
NC_042139,Corynebacterium virus Poushou,Poushouvirus,Siphoviridae,40353,Corynebacterium vitaeruminis,"Corynebacterium phage Poushou, complete genome"
NC_030928,Xanthomonas virus f20,Pradovirus,Podoviridae,43851,Xanthomonas arboricola,"Xanthomonas phage f20-Xaj, complete genome"
NC_030937,Xanthomonas virus f30,Pradovirus,Podoviridae,44262,Xanthomonas arboricola,"Xanthomonas phage f30-Xaj, complete genome"
NC_041831,Campylobacter virus IBB35,Firehammervirus,Myoviridae,27985,,"Campylobacter phage vB_CcoM-IBB_35 clone Contig3, complete sequence"
NC_041832,Campylobacter virus IBB35,Firehammervirus,Myoviridae,14701,,"Campylobacter phage vB_CcoM-IBB_35 clone Contig4, complete sequence"
NC_041833,Campylobacter virus IBB35,Firehammervirus,Myoviridae,51534,,"Campylobacter phage vB_CcoM-IBB_35 clone Contig2, complete sequence"
NC_041834,Campylobacter virus IBB35,Firehammervirus,Myoviridae,24608,,"Campylobacter phage vB_CcoM-IBB_35 clone Contig5, complete sequence"
NC_041835,Bacillus virus SPG24,Nitunavirus,Herelleviridae,516,Bacillus subtilis,"Bacillus phage SPG24 DNA, contig00002 sequence"
NC_041836,Bacillus virus SPG24,Nitunavirus,Herelleviridae,490,Bacillus subtilis,"Bacillus phage SPG24 DNA, contig00003 sequence"
NC_041837,Bacillus virus SPG24,Nitunavirus,Herelleviridae,264,Bacillus subtilis,"Bacillus phage SPG24 DNA, contig00004 sequence"
NC_041838,Bacillus virus SPG24,Nitunavirus,Herelleviridae,243,Bacillus subtilis,"Bacillus phage SPG24 DNA, contig00005 sequence"
NC_041839,Bacillus virus SPG24,Nitunavirus,Herelleviridae,243,Bacillus subtilis,"Bacillus phage SPG24 DNA, contig00006 sequence"
NC_041840,Bacillus virus SPG24,Nitunavirus,Herelleviridae,237,Bacillus subtilis,"Bacillus phage SPG24 DNA, contig00007 sequence"
NC_041841,Bacillus virus SPG24,Nitunavirus,Herelleviridae,211,Bacillus subtilis,"Bacillus phage SPG24 DNA, contig00008 sequence"
NC_041842,Bacillus virus SPG24,Nitunavirus,Herelleviridae,203,Bacillus subtilis,"Bacillus phage SPG24 DNA, contig00009 sequence"
NC_041844,Mycobacterium virus Optimus,Omegavirus,Siphoviridae,109270,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Optimus, complete genome"
NC_041845,Flavobacterium virus FCV1,Ficleduovirus,Myoviridae,46450,Flavobacterium columnare,"Flavobacterium phage FCV-1, complete genome"
NC_041846,Mycobacterium virus Bask21,Kostyavirus,Siphoviridae,74997,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Bask21, complete genome"
NC_041847,Mycobacterium virus Mutaforma13,Cheoctovirus,Siphoviridae,57701,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Mutaforma13, complete genome"
NC_041848,Escherichia virus P2,Peduovirus,Myoviridae,31200,Escherichia coli O157:H43 str. T22,"Enterobacteria phage P2, complete genome"
NC_041849,Streptomyces virus ELB20,Arequatrovirus,Siphoviridae,51160,Streptomyces sp.,"Streptomyces phage phiELB20, complete genome"
NC_041850,Mycobacterium virus Eureka,Kostyavirus,Siphoviridae,76174,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Eureka, complete genome"
NC_041851,Pseudomonas virus FHA0480,Casadabanvirus,Siphoviridae,37374,,"Pseudomonas phage F_HA0480sp/Pa1651, complete genome"
NC_041852,Mycobacterium virus Nepal,Fromanvirus,Siphoviridae,53972,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Nepal, complete genome"
NC_041853,Mycobacterium virus Marcell,Fromanvirus,Siphoviridae,49186,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Marcell, complete genome"
NC_041854,Pectobacterium virus fM1,Phimunavirus,Podoviridae,43827,Pectobacterium atrosepticum SCRI1043,"Pectobacterium phage PhiM1, complete genome"
NC_041855,Mycobacterium virus Dorothy,Cheoctovirus,Siphoviridae,58866,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Dorothy, complete genome"
NC_041856,Streptomyces virus phiCAM,Camvirus,Siphoviridae,50348,Streptomyces coelicolor,"Streptomyces phage phiCAM, complete genome"
NC_041857,Acinetobacter virus AB2,Obolenskvirus,Myoviridae,43665,Acinetobacter baumannii,"Acinetobacter phage IME-AB2, complete genome"
NC_041858,Bacillus virus Taylor,Andromedavirus,Siphoviridae,49492,Bacillus pumilus BL8,"Bacillus phage Taylor, complete genome"
NC_041859,Flavobacterium virus 23T,Unahavirus,Siphoviridae,43226,Flavobacterium psychrophilum,"Flavobacterium phage 23T, complete genome"
NC_041860,Streptomyces virus Danzina,Likavirus,Siphoviridae,50773,Streptomyces venezuelae ATCC 10712,"Streptomyces phage Danzina, complete genome"
NC_041861,Enterococcus virus VD13,Saphexavirus,Siphoviridae,55073,Enterococcus faecalis,"Enterococcus phage VD13, complete genome"
NC_041862,Listeria virus LP064,Pecentumvirus,Herelleviridae,135279,Listeria monocytogenes,"Listeria phage LP-064, complete genome"
NC_041863,Escherichia virus O157tp3,Mosigvirus,Myoviridae,168733,Escherichia coli O157:H7,"Escherichia coli O157 typing phage 3, complete genome"
NC_041864,Escherichia virus O157tp6,Mosigvirus,Myoviridae,160570,Escherichia coli O157:H7,"Escherichia coli O157 typing phage 6, complete genome"
NC_041865,Pseudomonas virus KTN6,Pbunavirus,Myoviridae,65994,Pseudomonas aeruginosa PAO1,"Pseudomonas phage phiKTN6, complete genome"
NC_041866,Acinetobacter virus R3177,Vieuvirus,Siphoviridae,47575,Acinetobacter sp.,"Acinetobacter phage YMC11/11/R3177, complete genome"
NC_041867,Paenibacillus virus Willow,Sitaravirus,Siphoviridae,37994,Paenibacillus larvae,"Paenibacillus phage Willow, complete genome"
NC_041868,Paracoccus virus Shpa,Vhulanivirus,Siphoviridae,38261,Paracoccus,"Paracoccus phage Shpa, complete genome"
NC_041869,Escherichia virus APECc02,Vequintavirus,Myoviridae,135400,Escherichia coli,"Escherichia phage APCEc02, complete genome"
NC_041870,Pseudomonas virus CEBDP1,Pbunavirus,Myoviridae,66158,Pseudomonas aeruginosa PAO1,"Pseudomonas phage vB_PaeM_CEB_DP1, complete genome"
NC_041871,Escherichia virus Murica,Vequintavirus,Myoviridae,135391,Escherichia coli,"Escherichia phage Murica, complete genome"
NC_041872,Flavobacterium virus Fpv4,Fipvunavirus,Podoviridae,88308,Flavobacterium psychrophilum,"Flavobacterium phage FpV4, complete genome"
NC_041873,Escherichia virus JMPW2,Tunavirus,Siphoviridae,50298,Escherichia coli,"Escherichia phage JMPW2, complete genome"
NC_041874,Escherichia virus JMPW1,Tunavirus,Siphoviridae,49628,Escherichia coli,"Escherichia phage JMPW1, complete genome"
NC_041875,Arthrobacter virus Jasmine,Jasminevirus,Podoviridae,46723,Arthrobacter sp. ATCC 21022,"Arthrobacter phage Jasmine, complete genome"
NC_041876,Arthrobacter virus Galaxy,Galaxyvirus,Siphoviridae,37809,Arthrobacter sp. ATCC 21022,"Arthrobacter phage Galaxy, complete genome"
NC_041877,Pseudomonas virus SM1,Samunavirus,Siphoviridae,93191,Pseudomonas aeruginosa,"Pseudomonas phage SM1, complete genome"
NC_041878,Pectobacterium phage CBB,Eneladusvirus,Myoviridae,378379,Pectobacterium carotovorum,"Pectobacterium phage CBB, complete genome"
NC_041879,Bacillus virus Mgbh1,Magadivirus,Siphoviridae,58951,Bacillus,"Bacillus phage Mgbh1, complete genome"
NC_041880,Pseudomonas virus PMW,Plaisancevirus,Myoviridae,103218,Pseudomonas putida,"Pseudomonas phage phiPMW, complete genome"
NC_041881,Pseudomonas virus pf16,Chakrabartyvirus,Myoviridae,158136,Pseudomonas putida,"Pseudomonas phage pf16, complete genome"
NC_041882,Mycobacterium virus Skinnyp,Redivirus,Siphoviridae,43478,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage SkinnyPete, complete genome"
NC_041883,Gordonia virus Attis,Attisvirus,Siphoviridae,47881,Gordonia terrae,"Gordonia phage Attis, complete genome"
NC_041884,Acinetobacter virus ME3,Metrivirus,Myoviridae,234900,Acinetobacter baumannii,"Acinetobacter phage vB_AbaM_ME3, complete genome"
NC_041885,Pseudomonas virus VSW3,Napahaivirus,Podoviridae,40556,Pseudomonas,"Pseudomonas phage VSW-3, complete genome"
NC_041886,Gordonia virus Strosahl,Soupsvirus,Siphoviridae,52738,Gordonia terrae,"Gordonia phage Strosahl, complete genome"
NC_041887,Rhodococcus virus Weasel,Weaselvirus,Siphoviridae,134973,Rhodococcus erythropolis,"Rhodococcus phage Weasels2, complete genome"
NC_041888,Mycobacterium virus Tortellini,Tortellinivirus,Siphoviridae,49658,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Tortellini, complete genome"
NC_041889,Strepomyces virus Rima,Rimavirus,Siphoviridae,56168,Streptomyces azureus,"Streptomyces phage Rima, complete genome"
NC_041890,Propionibacterium virus Anatole,Anatolevirus,Siphoviridae,35284,Propionibacterium freudenreichii,"Propionibacterium phage Anatole, complete genome"
NC_041891,Propionibacterium virus B22,Doucettevirus,Siphoviridae,37219,Propionibacterium freudenreichii,"Propionibacterium phage B22, complete genome"
NC_041892,Propionibacterium virus B3,Anatolevirus,Siphoviridae,35948,Propionibacterium freudenreichii,"Propionibacterium phage B3, complete genome"
NC_041893,Propionibacterium virus Doucette,Doucettevirus,Siphoviridae,37429,Propionibacterium freudenreichii,"Propionibacterium phage Doucette, complete genome"
NC_041894,Propionibacterium virus E6,Doucettevirus,Siphoviridae,38067,Propionibacterium freudenreichii,"Propionibacterium phage E6, complete genome"
NC_041895,Propionibacterium virus G4,Doucettevirus,Siphoviridae,38555,Propionibacterium freudenreichii,"Propionibacterium phage G4, complete genome"
NC_041896,Campylobacter virus Los1,Fletchervirus,Myoviridae,134073,Campylobacter jejuni,"Campylobacter phage vB_CjeM_Los1, complete genome"
NC_041897,Escherichia virus K1ind1,Kagunavirus,Siphoviridae,42292,Escherichia coli,"Escherichia phage K1ind1, complete genome"
NC_041898,Escherichia virus K1ind2,Kagunavirus,Siphoviridae,42765,Escherichia coli,"Escherichia phage K1ind2, complete genome"
NC_041899,Klebsiella virus IME260,Sugarlandvirus,Siphoviridae,123490,Klebsiella pneumoniae,"Klebsiella phage vB_Kpn_IME260, complete genome"
NC_041900,Klebsiella virus KpV80,Jedunavirus,Myoviridae,47405,Klebsiella pneumoniae,"Klebsiella phage vB_KpnM_KpV52, complete genome"
NC_041901,Mycobacterium virus Lukilu,Bixzunavirus,Myoviridae,157034,Mycolicibacterium smegmatis MC2 155,"Mycobacterium phage Lukilu, complete genome"
NC_041902,Pseudomonas virus PA5,Pbunavirus,Myoviridae,66182,Pseudomonas aeruginosa,"Pseudomonas phage PA5, complete genome"
NC_041903,Pseudomonas virus PA10,Pakpunavirus,Myoviridae,91212,Pseudomonas aeruginosa,"Pseudomonas phage PA10, complete genome"
NC_041904,Pseudomonas virus Zigelbrucke,Pakpunavirus,Myoviridae,92338,Pseudomonas aeruginosa PAO1,"Pseudomonas phage Zigelbrucke, complete genome"
NC_041905,Acinetobacter virus SH-Ab 15519,Friunavirus,Podoviridae,40493,Acinetobacter baumannii,"Acinetobacter phage SH-Ab 15519, complete genome"
NC_041906,Escherichia virus EC1UPM,Gamaleyavirus,Podoviridae,70912,Escherichia coli,"Escherichia phage EC1-UPM, complete genome"
NC_041907,Pseudomonas virus PA26,Litunavirus,Podoviridae,72321,Pseudomonas aeruginosa,"Pseudomonas phage PA26, complete genome"
NC_041908,Rhizobium virus RHEph4,Kleczkowskavirus,Myoviridae,53018,Rhizobium etli GR56,"Rhizobium phage RHEph04, complete genome"
NC_041909,Paenibacillus virus Shelly,Sitaravirus,Siphoviridae,41152,Paenibacillus larvae,"Bacteriophage Shelly, complete genome"
NC_041910,Vibrio virus SSP002,Mardecavirus,Siphoviridae,76350,Vibrio vulnificus,"Vibrio vulnificus phage SSP002, complete genome"
NC_041911,Ralstonia virus RP12,Ripduovirus,Myoviridae,279845,Ralstonia solanacearum,"Ralstonia phage RP12 DNA, complete genome"
NC_041912,Aquamicrobium virus P14,Aqualcavirus,Podoviridae,40551,Aquamicrobium sp. H14,"Aquamicrobium phage P14, complete genome"
NC_041913,Providencia virus PR1,Priunavirus,Siphoviridae,118537,Providencia sp.,"Providencia phage vB_PreS_PR1, complete genome"
NC_041914,Acinetobacter phage vB_AbaP_AS12,Friunavirus,Podoviridae,41402,Acinetobacter baumannii,"Acinetobacter phage vB_AbaP_AS12, complete genome"
NC_041915,Acinetobacter phage vB_AbaP_AS11,Friunavirus,Podoviridae,41642,Acinetobacter baumannii,"Acinetobacter phage vB_AbaP_AS11, complete genome"
NC_041916,Vibrio virus pTD1,Tidunavirus,Myoviridae,239276,Vibrio parahaemolyticus,"Vibrio phage pTD1 DNA, complete genome"
NC_041917,Serratia virus BF,Eneladusvirus,Myoviridae,357154,Serratia marcescens,"Serratia phage BF, complete genome"
NC_041918,Geobacillus virus Tp84,Saundersvirus,Siphoviridae,47703,Geobacillus stearothermophilus,"Geobacillus phage TP-84, complete genome"
NC_041919,Escherichia virus CF2,Tequatrovirus,Myoviridae,168188,Escherichia coli,"UNVERIFIED: Escherichia phage CF2, complete genome"
NC_041920,Escherichia virus HP3,Mosigvirus,Myoviridae,170254,Escherichia coli,"UNVERIFIED: Escherichia phage HP3, complete genome"
NC_041921,Dinoroseobacter virus D5C,Nanhaivirus,Siphoviridae,77874,Dinoroseobacter shibae,"Dinoroseobacter phage vB_DshS-R5C, complete genome"
NC_041922,Salmonella virus Si3,Felixounavirus,Myoviridae,84419,Salmonella enterica subsp. enterica serovar Infantis,"Salmonella phage Si3, complete genome"
NC_041923,Salmonella virus Mushroom,Felixounavirus,Myoviridae,87709,Salmonella sp.,"Salmonella phage Mushroom, complete genome"
NC_041924,Acinetobacter virus WCHABP12,Obolenskvirus,Myoviridae,45415,Acinetobacter baumannii,"Acinetobacter phage WCHABP12, complete genome"
NC_041925,Proteus phage VB_PmiS-Isfahan,Nonanavirus,Siphoviridae,54836,Proteus mirabilis,"Proteus phage VB_PmiS-Isfahan, complete genome"
NC_041926,Escherichia virus ECOO78,Jilinvirus,Myoviridae,41289,Escherichia coli O78,"Escherichia phage vB_EcoM_ECOO78, complete genome"
NC_041927,Sphingobium virus Lacusarx,Lacusarxvirus,Siphoviridae,130138,Sphingobium sp. IP1,"Sphingobium phage Lacusarx, complete genome"
NC_041928,Staphylococcus virus SEP1,Sepunavirus,Herelleviridae,139928,Staphylococcus epidermidis,"Staphylococcus phage phiIBB-SEP1, complete genome"
NC_041929,Sinorhizobium virus M7,Emdodecavirus,Myoviridae,188427,Sinorhizobium meliloti,"Sinorhizobium phage phiM7, complete genome"
NC_041930,Arthrobacter virus Brent,Marthavirus,Myoviridae,49879,Arthrobacter sp. ATCC 21022,"Arthrobacter phage Brent, complete genome"
NC_041931,Arthrobacter virus Jawnski,Marthavirus,Myoviridae,49419,Arthrobacter sp. ATCC 21022,"Arthrobacter phage Jawnski, complete genome"
NC_041932,Arthrobacter virus Martha,Marthavirus,Myoviridae,51027,Arthrobacter sp. ATCC 21022,"Arthrobacter phage Martha, complete genome"
NC_041933,Arthrobacter virus Sonny,Marthavirus,Myoviridae,50909,Arthrobacter sp. ATCC 21022,"Arthrobacter phage Sonny, complete genome"
NC_041934,Pseudomonas virus LKO4,Yuavirus,Siphoviridae,61818,Pseudomonas aeruginosa,"Pseudomonas phage LKO4, complete genome"
NC_041935,Escherichia virus PA28,Traversvirus,Podoviridae,61292,Escherichia coli PA28,"Escherichia phage PA28, complete genome"
NC_041936,Escherichia virus ECD7,Krischvirus,Myoviridae,164706,Escherichia coli,"Escherichia phage ECD7, complete genome"
NC_041937,Escherichia virus V18,Vequintavirus,Myoviridae,129454,Escherichia coli,"Escherichia phage V18, complete genome"
NC_041938,Arthrobacter virus Bennie,Korravirus,Siphoviridae,43075,Arthrobacter sp. ATCC 21022,"Arthrobacter phage Bennie, complete genome"
NC_041939,Arthrobacter virus DrRobert,Korravirus,Siphoviridae,42601,Arthrobacter sp. ATCC 21022,"Arthrobacter phage DrRobert, complete genome"
NC_041940,Arthrobacter virus Glenn,Korravirus,Siphoviridae,44389,Arthrobacter sp. ATCC 21022,"Arthrobacter phage Glenn, complete genome"
NC_041941,Arthrobacter virus HunterDalle,Korravirus,Siphoviridae,43336,Arthrobacter sp. ATCC 21022,"Arthrobacter phage HunterDalle, complete genome"
NC_041942,Arthrobacter virus Joann,Korravirus,Siphoviridae,44183,Arthrobacter sp. ATCC 21022,"Arthrobacter phage Joann, complete genome"
NC_041943,Arthrobacter virus Korra,Korravirus,Siphoviridae,43707,Arthrobacter sp. ATCC 21022,"Arthrobacter phage Korra, complete genome"
NC_041944,Arthrobacter virus Preamble,Korravirus,Siphoviridae,43374,Arthrobacter sp. ATCC 21022,"Arthrobacter phage Preamble, complete genome"
NC_041945,Arthrobacter virus Pumancara,Korravirus,Siphoviridae,42830,Arthrobacter sp. ATCC 21022,"Arthrobacter phage Pumancara, complete genome"
NC_041946,Arthrobacter virus Wayne,Korravirus,Siphoviridae,44371,Arthrobacter sp. ATCC 21022,"Arthrobacter phage Wayne, complete genome"
NC_041947,Arthrobacter virus Laroye,Laroyevirus,Siphoviridae,60005,Arthrobacter sp. ATCC 21022,"Arthrobacter phage Laroye, complete genome"
NC_041948,Arthrobacter virus Circum,Mudcatvirus,Siphoviridae,58353,Arthrobacter sp. ATCC 21022,"Arthrobacter phage Circum, complete genome"
NC_041949,Arthrobacter virus Amigo,Amigovirus,Siphoviridae,59173,Arthrobacter sp. ATCC 21022,"Arthrobacter phage Amigo, complete genome"
NC_041950,Gordonia virus Katyusha,Demosthenesvirus,Siphoviridae,75380,Gordonia terrae,"Gordonia phage Katyusha, complete genome"
NC_041951,Arthrobacter virus Captnmurica,Gordonvirus,Siphoviridae,58159,Arthrobacter sp. ATCC 21022,"Arthrobacter phage CaptnMurica, complete genome"
NC_041952,Arthrobacter virus Gordon,Gordonvirus,Siphoviridae,58279,Arthrobacter sp. ATCC 21022,"Arthrobacter phage Gordon, complete genome"
NC_041953,Pseudomonas virus PaMx25,Nipunavirus,Siphoviridae,57899,Pseudomonas aeruginosa,"Pseudomonas phage PaMx25, complete genome"
NC_041954,Propionibacterium virus Keiki,Pahexavirus,Siphoviridae,29339,Cutibacterium acnes,"Propionibacterium phage Keiki, complete genome"
NC_041955,Propionibacterium virus PHL082M03,Pahexavirus,Siphoviridae,29491,Cutibacterium acnes,"Propionibacterium phage PHL082M03, complete genome"
NC_041956,Propionibacterium virus PHL117M01,Pahexavirus,Siphoviridae,29422,Cutibacterium acnes,"Propionibacterium phage PHL117M01, complete genome"
NC_041957,Propionibacterium virus PHL151N00,Pahexavirus,Siphoviridae,29511,Cutibacterium acnes,"Propionibacterium phage PHL151N00, complete genome"
