Accession,Species,Genus,Family,Length,Host,GenBank_Title
MN855592,Bacteriophage sp.,,,11747,Apis mellifera,"Bacteriophage sp. isolate 173, complete genome"
MN855593,Siphoviridae sp.,,Siphoviridae,11265,,"Siphoviridae sp. isolate 195, complete genome"
MN855594,Siphoviridae sp.,,Siphoviridae,10999,,"Siphoviridae sp. isolate 197, complete genome"
MN855595,Bacteriophage sp.,,,10491,Apis mellifera,"Bacteriophage sp. isolate 204, complete genome"
MN855596,Siphoviridae sp.,,Siphoviridae,9985,,"Siphoviridae sp. isolate 223, complete genome"
MN855597,Bacteriophage sp.,,,9896,Apis mellifera,"Bacteriophage sp. isolate 222, complete genome"
MN855598,Bacteriophage sp.,,,9458,Apis mellifera,"Bacteriophage sp. isolate 236, complete genome"
MN855599,Siphoviridae sp.,,Siphoviridae,8719,,"Siphoviridae sp. isolate 27, complete genome"
MN855600,Bacteriophage sp.,,,7921,Apis mellifera,"Bacteriophage sp. isolate 296, complete genome"
MN855601,Siphoviridae sp.,,Siphoviridae,7743,,"Siphoviridae sp. isolate 315, complete genome"
MN855602,Siphoviridae sp.,,Siphoviridae,7682,,"Siphoviridae sp. isolate 316, complete genome"
MN855603,Bacteriophage sp.,,,7197,Apis mellifera,"Bacteriophage sp. isolate 338, complete genome"
MN855604,Siphoviridae sp.,,Siphoviridae,6714,,"Siphoviridae sp. isolate 380, complete genome"
MN855605,Siphoviridae sp.,,Siphoviridae,6707,,"Siphoviridae sp. isolate 391, complete genome"
MN855606,Siphoviridae sp.,,Siphoviridae,6208,,"Siphoviridae sp. isolate 42, complete genome"
MN855607,Siphoviridae sp.,,Siphoviridae,6020,,"Siphoviridae sp. isolate 432, complete genome"
MN855608,Bacteriophage sp.,,,5865,Apis mellifera,"Bacteriophage sp. isolate 448, complete genome"
MN855609,Siphoviridae sp.,,Siphoviridae,5857,,"Siphoviridae sp. isolate 454, complete genome"
MN855610,Bacteriophage sp.,,,5544,Apis mellifera,"Bacteriophage sp. isolate 477, complete genome"
MN855611,Bacteriophage sp.,,,5530,Apis mellifera,"Bacteriophage sp. isolate 480, complete genome"
MN855612,Bacteriophage sp.,,,5211,Apis mellifera,"Bacteriophage sp. isolate 514, complete genome"
MN855613,Siphoviridae sp.,,Siphoviridae,5021,,"Siphoviridae sp. isolate 60, complete genome"
MN855614,Siphoviridae sp.,,Siphoviridae,10582,,"Siphoviridae sp. isolate 217, complete genome"
MN855615,Siphoviridae sp.,,Siphoviridae,7588,,"Siphoviridae sp. isolate 320, complete genome"
MN855616,Bacteriophage sp.,,,6853,Apis mellifera,"Bacteriophage sp. isolate 359, complete genome"
MN855617,Myoviridae sp.,,Myoviridae,32522,,"Myoviridae sp. isolate 527, complete genome"
MN855618,Bacteriophage sp.,,,21493,Apis mellifera,"Bacteriophage sp. isolate 90, complete genome"
MN855619,Siphoviridae sp.,,Siphoviridae,17422,Lactobacillus melliventris,"Siphoviridae sp. isolate 157, complete genome"
MN855620,Siphoviridae sp.,,Siphoviridae,14639,,"Siphoviridae sp. isolate 172, complete genome"
MN855621,Siphoviridae sp.,,Siphoviridae,13033,,"Siphoviridae sp. isolate 19, complete genome"
MN855622,Siphoviridae sp.,,Siphoviridae,12229,,"Siphoviridae sp. isolate 213, complete genome"
MN855623,Siphoviridae sp.,,Siphoviridae,11792,,"Siphoviridae sp. isolate 229, complete genome"
MN855624,Siphoviridae sp.,,Siphoviridae,11484,Gilliamella apicola,"Siphoviridae sp. isolate 239, complete genome"
MN855625,Bacteriophage sp.,,,8711,Apis mellifera,"Bacteriophage sp. isolate 261, complete genome"
MN855626,Myoviridae sp.,,Myoviridae,7474,,"Myoviridae sp. isolate 394, complete genome"
MN855627,Myoviridae sp.,,Myoviridae,7035,,"Myoviridae sp. isolate 44, complete genome"
MN855628,Myoviridae sp.,,Myoviridae,6852,,"Myoviridae sp. isolate 453, complete genome"
MN855629,Myoviridae sp.,,Myoviridae,6491,,"Myoviridae sp. isolate 471, complete genome"
MN855630,Bacteriophage sp.,,,5884,Apis mellifera,"Bacteriophage sp. isolate 446, complete genome"
MN855631,Myoviridae sp.,,Myoviridae,5562,,"Myoviridae sp. isolate 513, complete genome"
MN855632,Bacteriophage sp.,,,28117,Apis mellifera,"Bacteriophage sp. isolate 63, complete genome"
MN855633,Siphoviridae sp.,,Siphoviridae,7016,Lactobacillus kimbladii,"Siphoviridae sp. isolate 37, complete genome"
MN855634,Siphoviridae sp.,,Siphoviridae,5218,,"Siphoviridae sp. isolate 7, complete genome"
MN855635,Bacteriophage sp.,,,5152,Apis mellifera,"Bacteriophage sp. isolate 522, complete genome"
MN855636,Bacteriophage sp.,,,42653,Apis mellifera,"Bacteriophage sp. isolate 140, complete genome"
MN855637,Bacteriophage sp.,,,39647,Apis mellifera,"Bacteriophage sp. isolate 32, complete genome"
MN855638,Bacteriophage sp.,,,30396,Apis mellifera,"Bacteriophage sp. isolate 55, complete genome"
MN855639,Bacteriophage sp.,,,17242,Apis mellifera,"Bacteriophage sp. isolate 100, complete genome"
MN855640,Bacteriophage sp.,,,16209,Apis mellifera,"Bacteriophage sp. isolate 118, complete genome"
MN855641,Bacteriophage sp.,,,15449,Apis mellifera,"Bacteriophage sp. isolate 123, complete genome"
MN855642,Bacteriophage sp.,,,14883,Apis mellifera,"Bacteriophage sp. isolate 132, complete genome"
MN855643,Bacteriophage sp.,,,14015,Apis mellifera,"Bacteriophage sp. isolate 110, complete genome"
MN855644,Siphoviridae sp.,,Siphoviridae,12974,,"Siphoviridae sp. isolate 209, complete genome"
MN855645,Myoviridae sp.,,Myoviridae,12964,Lactobacillus apis,"Myoviridae sp. isolate 24, complete genome"
MN855646,Bacteriophage sp.,,,9743,Apis mellifera,"Bacteriophage sp. isolate 226, complete genome"
MN855647,Bacteriophage sp.,,,8705,Apis mellifera,"Bacteriophage sp. isolate 262, complete genome"
MN855648,Myoviridae sp.,,Myoviridae,8425,,"Myoviridae sp. isolate 321, complete genome"
MN855649,Myoviridae sp.,,Myoviridae,8375,,"Myoviridae sp. isolate 327, complete genome"
MN855650,Bacteriophage sp.,,,7373,Apis mellifera,"Bacteriophage sp. isolate 324, complete genome"
MN855651,Myoviridae sp.,,Myoviridae,6376,,"Myoviridae sp. isolate 473, complete genome"
MN855652,Bacteriophage sp.,,,6220,Apis mellifera,"Bacteriophage sp. isolate 409, complete genome"
MN855653,Bacteriophage sp.,,,5978,Apis mellifera,"Bacteriophage sp. isolate 437, complete genome"
MN855654,Myoviridae sp.,,Myoviridae,5842,,"Myoviridae sp. isolate 499, complete genome"
MN855655,Myoviridae sp.,,Myoviridae,5407,Gilliamella apicola,"Myoviridae sp. isolate 535, complete genome"
MN855656,Bacteriophage sp.,,,5295,Apis mellifera,"Bacteriophage sp. isolate 171, complete genome"
MN855657,Bacteriophage sp.,,,10641,Apis mellifera,"Bacteriophage sp. isolate 196, complete genome"
MN855658,Bacteriophage sp.,,,9536,Apis mellifera,"Bacteriophage sp. isolate 13, complete genome"
MN855659,Bacteriophage sp.,,,6657,Apis mellifera,"Bacteriophage sp. isolate 142, complete genome"
MN855660,Bacteriophage sp.,,,6383,Apis mellifera,"Bacteriophage sp. isolate 158, complete genome"
MN855661,Bacteriophage sp.,,,8434,Apis mellifera,"Bacteriophage sp. isolate 274, complete genome"
MN855662,Bacteriophage sp.,,,5618,Apis mellifera,"Bacteriophage sp. isolate 170, complete genome"
MN855663,Bacteriophage sp.,,,8560,Apis mellifera,"Bacteriophage sp. isolate 271, complete genome"
MN855664,Bacteriophage sp.,,,8432,Apis mellifera,"Bacteriophage sp. isolate 275, complete genome"
MN855665,Bacteriophage sp.,,,6885,Apis mellifera,"Bacteriophage sp. isolate 358, complete genome"
MN855666,Myoviridae sp.,,Myoviridae,19461,,"Myoviridae sp. isolate 212, complete genome"
MN855667,Bacteriophage sp.,,,5271,Apis mellifera,"Bacteriophage sp. isolate 504, complete genome"
MN855668,Bacteriophage sp.,,,5166,Apis mellifera,"Bacteriophage sp. isolate 520, complete genome"
MN855669,Myoviridae sp.,,Myoviridae,8296,Gilliamella apicola,"Myoviridae sp. isolate 334, complete genome"
MN855670,Siphoviridae sp.,,Siphoviridae,5159,,"Siphoviridae sp. isolate 537, complete genome"
MN855671,Bacteriophage sp.,,,41333,Apis mellifera,"Bacteriophage sp. isolate 26, complete genome"
MN855672,Bacteriophage sp.,,,6143,Apis mellifera,"Bacteriophage sp. isolate 420, complete genome"
MN855673,Bacteriophage sp.,,,30045,Lactobacillus apis,"Bacteriophage sp. isolate 200, complete genome"
MN855674,Bacteriophage sp.,,,28874,Apis mellifera,"Bacteriophage sp. isolate 207, complete genome"
MN855675,Siphoviridae sp.,,Siphoviridae,28800,,"Siphoviridae sp. isolate 61, complete genome"
MN855676,Bacteriophage sp.,,,18448,Bifidobacterium asteroides,"Bacteriophage sp. isolate 104, complete genome"
MN855677,Bacteriophage sp.,,,13276,Apis mellifera,"Bacteriophage sp. isolate 150, complete genome"
MN855678,Bacteriophage sp.,,,11504,Apis mellifera,"Bacteriophage sp. isolate 181, complete genome"
MN855679,Bacteriophage sp.,,,9270,Apis mellifera,"Bacteriophage sp. isolate 244, complete genome"
MN855680,Siphoviridae sp.,,Siphoviridae,8845,,"Siphoviridae sp. isolate 260, complete genome"
MN855681,Bacteriophage sp.,,,7989,Apis mellifera,"Bacteriophage sp. isolate 293, complete genome"
MN855682,Bacteriophage sp.,,,7921,Apis mellifera,"Bacteriophage sp. isolate 297, complete genome"
MN855683,Siphoviridae sp.,,Siphoviridae,7561,,"Siphoviridae sp. isolate 326, complete genome"
MN855684,Bacteriophage sp.,,,7246,Apis mellifera,"Bacteriophage sp. isolate 331, complete genome"
MN855685,Bacteriophage sp.,,,6245,Apis mellifera,"Bacteriophage sp. isolate 405, complete genome"
MN855686,Siphoviridae sp.,,Siphoviridae,6003,,"Siphoviridae sp. isolate 449, complete genome"
MN855687,Bacteriophage sp.,,,5102,Apis mellifera,"Bacteriophage sp. isolate 528, complete genome"
MN855688,Bacteriophage sp.,,,10513,Bifidobacterium asteroides,"Bacteriophage sp. isolate 202, complete genome"
MN855689,Myoviridae sp.,,Myoviridae,10276,,"Myoviridae sp. isolate 28, complete genome"
MN855690,Myoviridae sp.,,Myoviridae,9933,,"Myoviridae sp. isolate 291, complete genome"
MN855691,Bacteriophage sp.,,,6339,Apis mellifera,"Bacteriophage sp. isolate 397, complete genome"
MN855692,Siphoviridae sp.,,Siphoviridae,5818,Bifidobacterium asteroides,"Siphoviridae sp. isolate 462, complete genome"
MN855693,Bacteriophage sp.,,,5070,Apis mellifera,"Bacteriophage sp. isolate 532, complete genome"
MN855694,Bacteriophage sp.,,,10723,Apis mellifera,"Bacteriophage sp. isolate 194, complete genome"
MN855695,Myoviridae sp.,,Myoviridae,7258,,"Myoviridae sp. isolate 402, complete genome"
MN855696,Bacteriophage sp.,,,7155,Apis mellifera,"Bacteriophage sp. isolate 342, complete genome"
MN855697,Bacteriophage sp.,,,5694,Lactobacillus kullabergensis,"Bacteriophage sp. isolate 461, complete genome"
MN855698,Myoviridae sp.,,Myoviridae,49648,,"Myoviridae sp. isolate 113, complete genome"
MN855699,Bacteriophage sp.,,,8018,Apis mellifera,"Bacteriophage sp. isolate 290, complete genome"
MN855700,Myoviridae sp.,,Myoviridae,7469,,"Myoviridae sp. isolate 398, complete genome"
MN855701,Bacteriophage sp.,,,23639,Apis mellifera,"Bacteriophage sp. isolate 21, complete genome"
MN855702,Bacteriophage sp.,,,7844,Apis mellifera,"Bacteriophage sp. isolate 300, complete genome"
MN855703,Bacteriophage sp.,,,6557,Apis mellifera,"Bacteriophage sp. isolate 379, complete genome"
MN855704,Bacteriophage sp.,,,5058,Apis mellifera,"Bacteriophage sp. isolate 198, complete genome"
MN855705,Bacteriophage sp.,,,11591,Apis mellifera,"Bacteriophage sp. isolate 119, complete genome"
MN855706,Bacteriophage sp.,,,6400,Apis mellifera,"Bacteriophage sp. isolate 152, complete genome"
MN855707,Bacteriophage sp.,,,6188,Bifidobacterium asteroides,"Bacteriophage sp. isolate 415, complete genome"
MN855708,Bacteriophage sp.,,,39830,Apis mellifera,"Bacteriophage sp. isolate 30, complete genome"
MN855709,Bacteriophage sp.,,,7839,Apis mellifera,"Bacteriophage sp. isolate 301, complete genome"
MN855710,Bacteriophage sp.,,,7786,Apis mellifera,"Bacteriophage sp. isolate 304, complete genome"
MN855711,Bacteriophage sp.,,,5932,Apis mellifera,"Bacteriophage sp. isolate 162, complete genome"
MN855712,Bacteriophage sp.,,,5845,Apis mellifera,"Bacteriophage sp. isolate 164, complete genome"
MN855713,Bacteriophage sp.,,,5731,Apis mellifera,"Bacteriophage sp. isolate 459, complete genome"
MN855714,Bacteriophage sp.,,,5218,Apis mellifera,"Bacteriophage sp. isolate 193, complete genome"
MN855715,Myoviridae sp.,,Myoviridae,11486,,"Myoviridae sp. isolate 267, complete genome"
MN855716,Myoviridae sp.,,Myoviridae,8991,Bifidobacterium asteroides,"Myoviridae sp. isolate 314, complete genome"
MN855717,Bacteriophage sp.,,,6456,Apis mellifera,"Bacteriophage sp. isolate 388, complete genome"
MN855718,Bacteriophage sp.,,,5493,Apis mellifera,"Bacteriophage sp. isolate 488, complete genome"
MN855719,Bacteriophage sp.,,,5489,Apis mellifera,"Bacteriophage sp. isolate 489, complete genome"
MN855720,Siphoviridae sp.,,Siphoviridae,65331,,"Siphoviridae sp. isolate 41, complete genome"
MN855721,Myoviridae sp.,,Myoviridae,32306,Bifidobacterium asteroides,"Myoviridae sp. isolate 53, complete genome"
MN855722,Bacteriophage sp.,,,32202,Bifidobacterium asteroides,"Bacteriophage sp. isolate 50, complete genome"
MN855723,Bacteriophage sp.,,,25564,Gilliamella apicola,"Bacteriophage sp. isolate 72, complete genome"
MN855724,Bacteriophage sp.,,,13426,Gilliamella apicola,"Bacteriophage sp. isolate 148, complete genome"
MN855725,Myoviridae sp.,,Myoviridae,10567,Lactobacillus kimbladii,"Myoviridae sp. isolate 277, complete genome"
MN855726,Bacteriophage sp.,,,9320,Apis mellifera,"Bacteriophage sp. isolate 241, complete genome"
MN855727,Myoviridae sp.,,Myoviridae,7050,,"Myoviridae sp. isolate 426, complete genome"
MN855728,Myoviridae sp.,,Myoviridae,6293,,"Myoviridae sp. isolate 48, complete genome"
MN855729,Siphoviridae sp.,,Siphoviridae,5682,,"Siphoviridae sp. isolate 467, complete genome"
MN855730,Bacteriophage sp.,,,5667,Apis mellifera,"Bacteriophage sp. isolate 464, complete genome"
MN855731,Myoviridae sp.,,Myoviridae,5591,,"Myoviridae sp. isolate 512, complete genome"
MN855732,Bacteriophage sp.,,,5096,Apis mellifera,"Bacteriophage sp. isolate 530, complete genome"
MN855733,Siphoviridae sp.,,Siphoviridae,71699,,"Siphoviridae sp. isolate 355, complete genome"
MN855734,Siphoviridae sp.,,Siphoviridae,51643,,"Siphoviridae sp. isolate 120, complete genome"
MN855735,Bacteriophage sp.,,,45555,Lactobacillus,"Bacteriophage sp. isolate 111, complete genome"
MN855736,Bacteriophage sp.,,,32162,Bifidobacterium asteroides,"Bacteriophage sp. isolate 182, complete genome"
MN855737,Bacteriophage sp.,,,31634,Apis mellifera,"Bacteriophage sp. isolate 54, complete genome"
MN855738,Bacteriophage sp.,,,24016,Apis mellifera,"Bacteriophage sp. isolate 77, complete genome"
MN855739,Bacteriophage sp.,,,21949,Apis mellifera,"Bacteriophage sp. isolate 86, complete genome"
MN855740,Bacteriophage sp.,,,9997,Apis mellifera,"Bacteriophage sp. isolate 218, complete genome"
MN855741,Myoviridae sp.,,Myoviridae,7518,,"Myoviridae sp. isolate 393, complete genome"
MN855742,Myoviridae sp.,,Myoviridae,7328,,"Myoviridae sp. isolate 401, complete genome"
MN855743,Bacteriophage sp.,,,7229,Apis mellifera,"Bacteriophage sp. isolate 332, complete genome"
MN855744,Myoviridae sp.,,Myoviridae,7220,,"Myoviridae sp. isolate 408, complete genome"
MN855745,Bacteriophage sp.,,,6575,Apis mellifera,"Bacteriophage sp. isolate 375, complete genome"
MN855746,Myoviridae sp.,,Myoviridae,6024,,"Myoviridae sp. isolate 496, complete genome"
MN855747,Myoviridae sp.,,Myoviridae,5105,,"Myoviridae sp. isolate 74, complete genome"
MN855748,Bacteriophage sp.,,,24014,Gilliamella apicola,"Bacteriophage sp. isolate 78, complete genome"
MN855749,Siphoviridae sp.,,Siphoviridae,22364,,"Siphoviridae sp. isolate 85, complete genome"
MN855750,Bacteriophage sp.,,,12110,Apis mellifera,"Bacteriophage sp. isolate 168, complete genome"
MN855751,Siphoviridae sp.,,Siphoviridae,9805,Gilliamella apicola,"Siphoviridae sp. isolate 228, complete genome"
MN855752,Siphoviridae sp.,,Siphoviridae,8996,,"Siphoviridae sp. isolate 256, complete genome"
MN855753,Bacteriophage sp.,,,8561,Apis mellifera,"Bacteriophage sp. isolate 270, complete genome"
MN855754,Bacteriophage sp.,,,7352,Apis mellifera,"Bacteriophage sp. isolate 325, complete genome"
MN855755,Bacteriophage sp.,,,6955,Apis mellifera,"Bacteriophage sp. isolate 352, complete genome"
MN855756,Bacteriophage sp.,,,6628,Apis mellifera,"Bacteriophage sp. isolate 143, complete genome"
MN855757,Bacteriophage sp.,,,6013,Apis mellifera,"Bacteriophage sp. isolate 428, complete genome"
MN855758,Bacteriophage sp.,,,5231,Bifidobacterium asteroides,"Bacteriophage sp. isolate 178, complete genome"
MN855759,Siphoviridae sp.,,Siphoviridae,28373,Bifidobacterium asteroides,"Siphoviridae sp. isolate 62, complete genome"
MN855760,Bacteriophage sp.,,,6240,Apis mellifera,"Bacteriophage sp. isolate 406, complete genome"
MN855761,Bacteriophage sp.,,,6894,Apis mellifera,"Bacteriophage sp. isolate 356, complete genome"
MN855762,Bacteriophage sp.,,,5262,Apis mellifera,"Bacteriophage sp. isolate 505, complete genome"
MN855763,Myoviridae sp.,,Myoviridae,180431,,"Myoviridae sp. isolate 210, complete genome"
MN855765,Myoviridae sp.,,Myoviridae,48957,,"Myoviridae sp. isolate 14, complete genome"
MN855766,Bacteriophage sp.,,,47542,Apis mellifera,"Bacteriophage sp. isolate 10, complete genome"
MN855767,Bacteriophage sp.,,,46934,Apis mellifera,"Bacteriophage sp. isolate 11, complete genome"
MN855768,Siphoviridae sp.,,Siphoviridae,46852,,"Siphoviridae sp. isolate 183, complete genome"
MN855769,Siphoviridae sp.,,Siphoviridae,46489,,"Siphoviridae sp. isolate 188, complete genome"
MN855770,Siphoviridae sp.,,Siphoviridae,45562,,"Siphoviridae sp. isolate 18, complete genome"
MN855771,Siphoviridae sp.,,Siphoviridae,45238,,"Siphoviridae sp. isolate 189, complete genome"
MN855772,Siphoviridae sp.,,Siphoviridae,44834,,"Siphoviridae sp. isolate 281, complete genome"
MN855773,Siphoviridae sp.,,Siphoviridae,44796,,"Siphoviridae sp. isolate 219, complete genome"
MN855774,Myoviridae sp.,,Myoviridae,44651,,"Myoviridae sp. isolate 278, complete genome"
MN855775,Siphoviridae sp.,,Siphoviridae,41656,,"Siphoviridae sp. isolate 255, complete genome"
MN855776,Siphoviridae sp.,,Siphoviridae,39794,,"Siphoviridae sp. isolate 36, complete genome"
MN855777,Bacteriophage sp.,,,39362,Apis mellifera,"Bacteriophage sp. isolate 33, complete genome"
MN855778,Myoviridae sp.,,Myoviridae,39201,,"Myoviridae sp. isolate 416, complete genome"
MN855779,Myoviridae sp.,,Myoviridae,38822,,"Myoviridae sp. isolate 443, complete genome"
MN855780,Siphoviridae sp.,,Siphoviridae,38757,,"Siphoviridae sp. isolate 404, complete genome"
MN855781,Bacteriophage sp.,,,35978,Apis mellifera,"Bacteriophage sp. isolate 39, complete genome"
MN855782,Bacteriophage sp.,,,34499,Apis mellifera,"Bacteriophage sp. isolate 43, complete genome"
MN855783,Siphoviridae sp.,,Siphoviridae,33677,,"Siphoviridae sp. isolate 509, complete genome"
MN855784,Bacteriophage sp.,,,32850,Apis mellifera,"Bacteriophage sp. isolate 47, complete genome"
MN855786,Bacteriophage sp.,,,25964,Apis mellifera,"Bacteriophage sp. isolate 70, complete genome"
MN855787,Bacteriophage sp.,,,25922,Apis mellifera,"Bacteriophage sp. isolate 71, complete genome"
MN855788,Myoviridae sp.,,Myoviridae,25225,,"Myoviridae sp. isolate 99, complete genome"
MN855790,Bacteriophage sp.,,,24504,Apis mellifera,"Bacteriophage sp. isolate 76, complete genome"
MN855791,Bacteriophage sp.,,,23064,Apis mellifera,"Bacteriophage sp. isolate 82, complete genome"
MN855792,Siphoviridae sp.,,Siphoviridae,21827,,"Siphoviridae sp. isolate 87, complete genome"
MN855793,Bacteriophage sp.,,,21811,Apis mellifera,"Bacteriophage sp. isolate 88, complete genome"
MN855795,Bacteriophage sp.,,,20898,Apis mellifera,"Bacteriophage sp. isolate 91, complete genome"
MN855796,Siphoviridae sp.,,Siphoviridae,20719,,"Siphoviridae sp. isolate 92, complete genome"
MN855797,Siphoviridae sp.,,Siphoviridae,20392,,"Siphoviridae sp. isolate 94, complete genome"
MN855798,Bacteriophage sp.,,,20244,Apis mellifera,"Bacteriophage sp. isolate 95, complete genome"
MN855799,Bacteriophage sp.,,,20021,Apis mellifera,"Bacteriophage sp. isolate 97, complete genome"
MN855800,Bacteriophage sp.,,,19922,Apis mellifera,"Bacteriophage sp. isolate 98, complete genome"
MN855801,Bacteriophage sp.,,,18518,Apis mellifera,"Bacteriophage sp. isolate 103, complete genome"
MN855802,Bacteriophage sp.,,,17741,Apis mellifera,"Bacteriophage sp. isolate 107, complete genome"
MN855804,Bacteriophage sp.,,,16844,Apis mellifera,"Bacteriophage sp. isolate 101, complete genome"
MN855805,Bacteriophage sp.,,,16724,Apis mellifera,"Bacteriophage sp. isolate 114, complete genome"
MN855806,Siphoviridae sp.,,Siphoviridae,16464,,"Siphoviridae sp. isolate 121, complete genome"
MN855808,Siphoviridae sp.,,Siphoviridae,15694,,"Siphoviridae sp. isolate 129, complete genome"
MN855809,Siphoviridae sp.,,Siphoviridae,15669,,"Siphoviridae sp. isolate 134, complete genome"
MN855810,Myoviridae sp.,,Myoviridae,15417,,"Myoviridae sp. isolate 23, complete genome"
MN855812,Bacteriophage sp.,,,14306,Apis mellifera,"Bacteriophage sp. isolate 139, complete genome"
MN855813,Bacteriophage sp.,,,14128,Apis mellifera,"Bacteriophage sp. isolate 141, complete genome"
MN855814,Myoviridae sp.,,Myoviridae,14052,,"Myoviridae sp. isolate 234, complete genome"
